0 5 10 15 20  has these rows that are the same: 
0 1 4 12 13 CM Met  T=5Z

0 4 6 12 13 CM Met  T=5Z

0 1 9 12 13 CM Met  T=5Z

0 6 9 12 13 CM Met  T=5Z

0 4 11 12 13 CM Met  T=5Z

0 9 11 12 13 CM Met  T=5Z

0 1 2 3 14 CM Met  T=5Z

0 2 3 6 14 CM Met  T=5Z

0 1 3 7 14 CM Met  T=5Z

0 3 6 7 14 CM Met  T=5Z

0 1 2 8 14 CM Met  T=5Z

0 2 6 8 14 CM Met  T=5Z

0 1 7 8 14 CM Met  T=5Z

0 6 7 8 14 CM Met  T=5Z

0 2 3 11 14 CM Met  T=5Z

0 3 7 11 14 CM Met  T=5Z

0 2 8 11 14 CM Met  T=5Z

0 7 8 11 14 CM Met  T=5Z

0 1 3 12 14 CM Met  T=5Z

0 3 6 12 14 CM Met  T=5Z

0 1 8 12 14 CM Met  T=5Z

0 6 8 12 14 CM Met  T=5Z

0 3 11 12 14 CM Met  T=5Z

0 8 11 12 14 CM Met  T=5Z

0 1 2 13 14 CM Met  T=5Z

0 2 6 13 14 CM Met  T=5Z

0 1 7 13 14 CM Met  T=5Z

0 6 7 13 14 CM Met  T=5Z

0 2 11 13 14 CM Met  T=5Z

0 7 11 13 14 CM Met  T=5Z

0 1 12 13 14 CM Met  T=5Z

0 6 12 13 14 CM Met  T=5Z

0 11 12 13 14 CM Met  T=5Z

0 2 3 4 16 CM Met  T=5Z

0 3 4 7 16 CM Met  T=5Z

0 2 4 8 16 CM Met  T=5Z

0 4 7 8 16 CM Met  T=5Z

0 2 3 9 16 CM Met  T=5Z

0 3 7 9 16 CM Met  T=5Z

0 2 8 9 16 CM Met  T=5Z

0 7 8 9 16 CM Met  T=5Z

0 3 4 12 16 CM Met  T=5Z

0 4 8 12 16 CM Met  T=5Z

0 3 9 12 16 CM Met  T=5Z

0 8 9 12 16 CM Met  T=5Z

0 2 4 13 16 CM Met  T=5Z

0 4 7 13 16 CM Met  T=5Z

0 2 9 13 16 CM Met  T=5Z

0 7 9 13 16 CM Met  T=5Z

0 4 12 13 16 CM Met  T=5Z

0 9 12 13 16 CM Met  T=5Z

0 2 3 14 16 CM Met  T=5Z

0 3 7 14 16 CM Met  T=5Z

0 2 8 14 16 CM Met  T=5Z

0 7 8 14 16 CM Met  T=5Z

0 3 12 14 16 CM Met  T=5Z

0 8 12 14 16 CM Met  T=5Z

0 2 13 14 16 CM Met  T=5Z

0 7 13 14 16 CM Met  T=5Z

0 12 13 14 16 CM Met  T=5Z

0 1 3 4 17 CM Met  T=5Z

0 3 4 6 17 CM Met  T=5Z

0 1 4 8 17 CM Met  T=5Z

0 4 6 8 17 CM Met  T=5Z

0 1 3 9 17 CM Met  T=5Z

0 3 6 9 17 CM Met  T=5Z

0 1 8 9 17 CM Met  T=5Z

0 6 8 9 17 CM Met  T=5Z

0 3 4 11 17 CM Met  T=5Z

0 4 8 11 17 CM Met  T=5Z

0 3 9 11 17 CM Met  T=5Z

0 8 9 11 17 CM Met  T=5Z

0 1 4 13 17 CM Met  T=5Z

0 4 6 13 17 CM Met  T=5Z

0 1 9 13 17 CM Met  T=5Z

0 6 9 13 17 CM Met  T=5Z

0 4 11 13 17 CM Met  T=5Z

0 9 11 13 17 CM Met  T=5Z

0 1 3 14 17 CM Met  T=5Z

0 3 6 14 17 CM Met  T=5Z

0 1 8 14 17 CM Met  T=5Z

0 6 8 14 17 CM Met  T=5Z

0 3 11 14 17 CM Met  T=5Z

0 8 11 14 17 CM Met  T=5Z

0 1 13 14 17 CM Met  T=5Z

0 6 13 14 17 CM Met  T=5Z

0 11 13 14 17 CM Met  T=5Z

0 3 4 16 17 CM Met  T=5Z

0 4 8 16 17 CM Met  T=5Z

0 3 9 16 17 CM Met  T=5Z

0 8 9 16 17 CM Met  T=5Z

0 4 13 16 17 CM Met  T=5Z

0 9 13 16 17 CM Met  T=5Z

0 3 14 16 17 CM Met  T=5Z

0 8 14 16 17 CM Met  T=5Z

0 13 14 16 17 CM Met  T=5Z

0 1 2 4 18 CM Met  T=5Z

0 2 4 6 18 CM Met  T=5Z

0 1 4 7 18 CM Met  T=5Z

0 4 6 7 18 CM Met  T=5Z

0 1 2 9 18 CM Met  T=5Z

0 2 6 9 18 CM Met  T=5Z

0 1 7 9 18 CM Met  T=5Z

0 6 7 9 18 CM Met  T=5Z

0 2 4 11 18 CM Met  T=5Z

0 4 7 11 18 CM Met  T=5Z

0 2 9 11 18 CM Met  T=5Z

0 7 9 11 18 CM Met  T=5Z

0 1 4 12 18 CM Met  T=5Z

0 4 6 12 18 CM Met  T=5Z

0 1 9 12 18 CM Met  T=5Z

0 6 9 12 18 CM Met  T=5Z

0 4 11 12 18 CM Met  T=5Z

0 9 11 12 18 CM Met  T=5Z

0 1 2 14 18 CM Met  T=5Z

0 2 6 14 18 CM Met  T=5Z

0 1 7 14 18 CM Met  T=5Z

0 6 7 14 18 CM Met  T=5Z

0 2 11 14 18 CM Met  T=5Z

0 7 11 14 18 CM Met  T=5Z

0 1 12 14 18 CM Met  T=5Z

0 6 12 14 18 CM Met  T=5Z

0 11 12 14 18 CM Met  T=5Z

0 2 4 16 18 CM Met  T=5Z

0 4 7 16 18 CM Met  T=5Z

0 2 9 16 18 CM Met  T=5Z

0 7 9 16 18 CM Met  T=5Z

0 4 12 16 18 CM Met  T=5Z

0 9 12 16 18 CM Met  T=5Z

0 2 14 16 18 CM Met  T=5Z

0 7 14 16 18 CM Met  T=5Z

0 12 14 16 18 CM Met  T=5Z

0 1 4 17 18 CM Met  T=5Z

0 4 6 17 18 CM Met  T=5Z

0 1 9 17 18 CM Met  T=5Z

0 6 9 17 18 CM Met  T=5Z

0 4 11 17 18 CM Met  T=5Z

0 9 11 17 18 CM Met  T=5Z

0 1 14 17 18 CM Met  T=5Z

0 6 14 17 18 CM Met  T=5Z

0 11 14 17 18 CM Met  T=5Z

0 4 16 17 18 CM Met  T=5Z

0 9 16 17 18 CM Met  T=5Z

0 14 16 17 18 CM Met  T=5Z

0 1 2 3 19 CM Met  T=5Z

0 2 3 6 19 CM Met  T=5Z

0 1 3 7 19 CM Met  T=5Z

0 3 6 7 19 CM Met  T=5Z

0 1 2 8 19 CM Met  T=5Z

0 2 6 8 19 CM Met  T=5Z

0 1 7 8 19 CM Met  T=5Z

0 6 7 8 19 CM Met  T=5Z

0 2 3 11 19 CM Met  T=5Z

0 3 7 11 19 CM Met  T=5Z

0 2 8 11 19 CM Met  T=5Z

0 7 8 11 19 CM Met  T=5Z

0 1 3 12 19 CM Met  T=5Z

0 3 6 12 19 CM Met  T=5Z

0 1 8 12 19 CM Met  T=5Z

0 6 8 12 19 CM Met  T=5Z

0 3 11 12 19 CM Met  T=5Z

0 8 11 12 19 CM Met  T=5Z

0 1 2 13 19 CM Met  T=5Z

0 2 6 13 19 CM Met  T=5Z

0 1 7 13 19 CM Met  T=5Z

0 6 7 13 19 CM Met  T=5Z

0 2 11 13 19 CM Met  T=5Z

0 7 11 13 19 CM Met  T=5Z

0 1 12 13 19 CM Met  T=5Z

0 6 12 13 19 CM Met  T=5Z

0 11 12 13 19 CM Met  T=5Z

0 2 3 16 19 CM Met  T=5Z

0 3 7 16 19 CM Met  T=5Z

0 2 8 16 19 CM Met  T=5Z

0 7 8 16 19 CM Met  T=5Z

0 3 12 16 19 CM Met  T=5Z

0 8 12 16 19 CM Met  T=5Z

0 2 13 16 19 CM Met  T=5Z

0 7 13 16 19 CM Met  T=5Z

0 12 13 16 19 CM Met  T=5Z

0 1 3 17 19 CM Met  T=5Z

0 3 6 17 19 CM Met  T=5Z

0 1 8 17 19 CM Met  T=5Z

0 6 8 17 19 CM Met  T=5Z

0 3 11 17 19 CM Met  T=5Z

0 8 11 17 19 CM Met  T=5Z

0 1 13 17 19 CM Met  T=5Z

0 6 13 17 19 CM Met  T=5Z

0 11 13 17 19 CM Met  T=5Z

0 3 16 17 19 CM Met  T=5Z

0 8 16 17 19 CM Met  T=5Z

0 13 16 17 19 CM Met  T=5Z

0 1 2 18 19 CM Met  T=5Z

0 2 6 18 19 CM Met  T=5Z

0 1 7 18 19 CM Met  T=5Z

0 6 7 18 19 CM Met  T=5Z

0 2 11 18 19 CM Met  T=5Z

0 7 11 18 19 CM Met  T=5Z

0 1 12 18 19 CM Met  T=5Z

0 6 12 18 19 CM Met  T=5Z

0 11 12 18 19 CM Met  T=5Z

0 2 16 18 19 CM Met  T=5Z

0 7 16 18 19 CM Met  T=5Z

0 12 16 18 19 CM Met  T=5Z

0 1 17 18 19 CM Met  T=5Z

0 6 17 18 19 CM Met  T=5Z

0 11 17 18 19 CM Met  T=5Z

0 16 17 18 19 CM Met  T=5Z

0 2 3 4 21 CM Met  T=5Z

0 3 4 7 21 CM Met  T=5Z

0 2 4 8 21 CM Met  T=5Z

0 4 7 8 21 CM Met  T=5Z

0 2 3 9 21 CM Met  T=5Z

0 3 7 9 21 CM Met  T=5Z

0 2 8 9 21 CM Met  T=5Z

0 7 8 9 21 CM Met  T=5Z

0 3 4 12 21 CM Met  T=5Z

0 4 8 12 21 CM Met  T=5Z

0 3 9 12 21 CM Met  T=5Z

0 8 9 12 21 CM Met  T=5Z

0 2 4 13 21 CM Met  T=5Z

0 4 7 13 21 CM Met  T=5Z

0 2 9 13 21 CM Met  T=5Z

0 7 9 13 21 CM Met  T=5Z

0 4 12 13 21 CM Met  T=5Z

0 9 12 13 21 CM Met  T=5Z

0 2 3 14 21 CM Met  T=5Z

0 3 7 14 21 CM Met  T=5Z

0 2 8 14 21 CM Met  T=5Z

0 7 8 14 21 CM Met  T=5Z

0 3 12 14 21 CM Met  T=5Z

0 8 12 14 21 CM Met  T=5Z

0 2 13 14 21 CM Met  T=5Z

0 7 13 14 21 CM Met  T=5Z

0 12 13 14 21 CM Met  T=5Z

0 3 4 17 21 CM Met  T=5Z

0 4 8 17 21 CM Met  T=5Z

0 3 9 17 21 CM Met  T=5Z

0 8 9 17 21 CM Met  T=5Z

0 4 13 17 21 CM Met  T=5Z

0 9 13 17 21 CM Met  T=5Z

0 3 14 17 21 CM Met  T=5Z

0 8 14 17 21 CM Met  T=5Z

0 13 14 17 21 CM Met  T=5Z

0 2 4 18 21 CM Met  T=5Z

0 4 7 18 21 CM Met  T=5Z

0 2 9 18 21 CM Met  T=5Z

0 7 9 18 21 CM Met  T=5Z

0 4 12 18 21 CM Met  T=5Z

0 9 12 18 21 CM Met  T=5Z

0 2 14 18 21 CM Met  T=5Z

0 7 14 18 21 CM Met  T=5Z

0 12 14 18 21 CM Met  T=5Z

0 4 17 18 21 CM Met  T=5Z

0 9 17 18 21 CM Met  T=5Z

0 14 17 18 21 CM Met  T=5Z

0 2 3 19 21 CM Met  T=5Z

0 3 7 19 21 CM Met  T=5Z

0 2 8 19 21 CM Met  T=5Z

0 7 8 19 21 CM Met  T=5Z

0 3 12 19 21 CM Met  T=5Z

0 8 12 19 21 CM Met  T=5Z

0 2 13 19 21 CM Met  T=5Z

0 7 13 19 21 CM Met  T=5Z

0 12 13 19 21 CM Met  T=5Z

0 3 17 19 21 CM Met  T=5Z

0 8 17 19 21 CM Met  T=5Z

0 13 17 19 21 CM Met  T=5Z

0 2 18 19 21 CM Met  T=5Z

0 7 18 19 21 CM Met  T=5Z

0 12 18 19 21 CM Met  T=5Z

0 17 18 19 21 CM Met  T=5Z

0 1 3 4 22 CM Met  T=5Z

0 3 4 6 22 CM Met  T=5Z

0 1 4 8 22 CM Met  T=5Z

0 4 6 8 22 CM Met  T=5Z

0 1 3 9 22 CM Met  T=5Z

0 3 6 9 22 CM Met  T=5Z

0 1 8 9 22 CM Met  T=5Z

0 6 8 9 22 CM Met  T=5Z

0 3 4 11 22 CM Met  T=5Z

0 4 8 11 22 CM Met  T=5Z

0 3 9 11 22 CM Met  T=5Z

0 8 9 11 22 CM Met  T=5Z

0 1 4 13 22 CM Met  T=5Z

0 4 6 13 22 CM Met  T=5Z

0 1 9 13 22 CM Met  T=5Z

0 6 9 13 22 CM Met  T=5Z

0 4 11 13 22 CM Met  T=5Z

0 9 11 13 22 CM Met  T=5Z

0 1 3 14 22 CM Met  T=5Z

0 3 6 14 22 CM Met  T=5Z

0 1 8 14 22 CM Met  T=5Z

0 6 8 14 22 CM Met  T=5Z

0 3 11 14 22 CM Met  T=5Z

0 8 11 14 22 CM Met  T=5Z

0 1 13 14 22 CM Met  T=5Z

0 6 13 14 22 CM Met  T=5Z

0 11 13 14 22 CM Met  T=5Z

0 3 4 16 22 CM Met  T=5Z

0 4 8 16 22 CM Met  T=5Z

0 3 9 16 22 CM Met  T=5Z

0 8 9 16 22 CM Met  T=5Z

0 4 13 16 22 CM Met  T=5Z

0 9 13 16 22 CM Met  T=5Z

0 3 14 16 22 CM Met  T=5Z

0 8 14 16 22 CM Met  T=5Z

0 13 14 16 22 CM Met  T=5Z

0 1 4 18 22 CM Met  T=5Z

0 4 6 18 22 CM Met  T=5Z

0 1 9 18 22 CM Met  T=5Z

0 6 9 18 22 CM Met  T=5Z

0 4 11 18 22 CM Met  T=5Z

0 9 11 18 22 CM Met  T=5Z

0 1 14 18 22 CM Met  T=5Z

0 6 14 18 22 CM Met  T=5Z

0 11 14 18 22 CM Met  T=5Z

0 4 16 18 22 CM Met  T=5Z

0 9 16 18 22 CM Met  T=5Z

0 14 16 18 22 CM Met  T=5Z

0 1 3 19 22 CM Met  T=5Z

0 3 6 19 22 CM Met  T=5Z

0 1 8 19 22 CM Met  T=5Z

0 6 8 19 22 CM Met  T=5Z

0 3 11 19 22 CM Met  T=5Z

0 8 11 19 22 CM Met  T=5Z

0 1 13 19 22 CM Met  T=5Z

0 6 13 19 22 CM Met  T=5Z

0 11 13 19 22 CM Met  T=5Z

0 3 16 19 22 CM Met  T=5Z

0 8 16 19 22 CM Met  T=5Z

0 13 16 19 22 CM Met  T=5Z

0 1 18 19 22 CM Met  T=5Z

0 6 18 19 22 CM Met  T=5Z

0 11 18 19 22 CM Met  T=5Z

0 16 18 19 22 CM Met  T=5Z

0 3 4 21 22 CM Met  T=5Z

0 4 8 21 22 CM Met  T=5Z

0 3 9 21 22 CM Met  T=5Z

0 8 9 21 22 CM Met  T=5Z

0 4 13 21 22 CM Met  T=5Z

0 9 13 21 22 CM Met  T=5Z

0 3 14 21 22 CM Met  T=5Z

0 8 14 21 22 CM Met  T=5Z

0 13 14 21 22 CM Met  T=5Z

0 4 18 21 22 CM Met  T=5Z

0 9 18 21 22 CM Met  T=5Z

0 14 18 21 22 CM Met  T=5Z

0 3 19 21 22 CM Met  T=5Z

0 8 19 21 22 CM Met  T=5Z

0 13 19 21 22 CM Met  T=5Z

0 18 19 21 22 CM Met  T=5Z

0 1 2 4 23 CM Met  T=5Z

0 2 4 6 23 CM Met  T=5Z

0 1 4 7 23 CM Met  T=5Z

0 4 6 7 23 CM Met  T=5Z

0 1 2 9 23 CM Met  T=5Z

0 2 6 9 23 CM Met  T=5Z

0 1 7 9 23 CM Met  T=5Z

0 6 7 9 23 CM Met  T=5Z

0 2 4 11 23 CM Met  T=5Z

0 4 7 11 23 CM Met  T=5Z

0 2 9 11 23 CM Met  T=5Z

0 7 9 11 23 CM Met  T=5Z

0 1 4 12 23 CM Met  T=5Z

0 4 6 12 23 CM Met  T=5Z

0 1 9 12 23 CM Met  T=5Z

0 6 9 12 23 CM Met  T=5Z

0 4 11 12 23 CM Met  T=5Z

0 9 11 12 23 CM Met  T=5Z

0 1 2 14 23 CM Met  T=5Z

0 2 6 14 23 CM Met  T=5Z

0 1 7 14 23 CM Met  T=5Z

0 6 7 14 23 CM Met  T=5Z

0 2 11 14 23 CM Met  T=5Z

0 7 11 14 23 CM Met  T=5Z

0 1 12 14 23 CM Met  T=5Z

0 6 12 14 23 CM Met  T=5Z

0 11 12 14 23 CM Met  T=5Z

0 2 4 16 23 CM Met  T=5Z

0 4 7 16 23 CM Met  T=5Z

0 2 9 16 23 CM Met  T=5Z

0 7 9 16 23 CM Met  T=5Z

0 4 12 16 23 CM Met  T=5Z

0 9 12 16 23 CM Met  T=5Z

0 2 14 16 23 CM Met  T=5Z

0 7 14 16 23 CM Met  T=5Z

0 12 14 16 23 CM Met  T=5Z

0 1 4 17 23 CM Met  T=5Z

0 4 6 17 23 CM Met  T=5Z

0 1 9 17 23 CM Met  T=5Z

0 6 9 17 23 CM Met  T=5Z

0 4 11 17 23 CM Met  T=5Z

0 9 11 17 23 CM Met  T=5Z

0 1 14 17 23 CM Met  T=5Z

0 6 14 17 23 CM Met  T=5Z

0 11 14 17 23 CM Met  T=5Z

0 4 16 17 23 CM Met  T=5Z

0 9 16 17 23 CM Met  T=5Z

0 14 16 17 23 CM Met  T=5Z

0 1 2 19 23 CM Met  T=5Z

0 2 6 19 23 CM Met  T=5Z

0 1 7 19 23 CM Met  T=5Z

0 6 7 19 23 CM Met  T=5Z

0 2 11 19 23 CM Met  T=5Z

0 7 11 19 23 CM Met  T=5Z

0 1 12 19 23 CM Met  T=5Z

0 6 12 19 23 CM Met  T=5Z

0 11 12 19 23 CM Met  T=5Z

0 2 16 19 23 CM Met  T=5Z

0 7 16 19 23 CM Met  T=5Z

0 12 16 19 23 CM Met  T=5Z

0 1 17 19 23 CM Met  T=5Z

0 6 17 19 23 CM Met  T=5Z

0 11 17 19 23 CM Met  T=5Z

0 16 17 19 23 CM Met  T=5Z

0 2 4 21 23 CM Met  T=5Z

0 4 7 21 23 CM Met  T=5Z

0 2 9 21 23 CM Met  T=5Z

0 7 9 21 23 CM Met  T=5Z

0 4 12 21 23 CM Met  T=5Z

0 9 12 21 23 CM Met  T=5Z

0 2 14 21 23 CM Met  T=5Z

0 7 14 21 23 CM Met  T=5Z

0 12 14 21 23 CM Met  T=5Z

0 4 17 21 23 CM Met  T=5Z

0 9 17 21 23 CM Met  T=5Z

0 14 17 21 23 CM Met  T=5Z

0 2 19 21 23 CM Met  T=5Z

0 7 19 21 23 CM Met  T=5Z

0 12 19 21 23 CM Met  T=5Z

0 17 19 21 23 CM Met  T=5Z

0 1 4 22 23 CM Met  T=5Z

0 4 6 22 23 CM Met  T=5Z

0 1 9 22 23 CM Met  T=5Z

0 6 9 22 23 CM Met  T=5Z

0 4 11 22 23 CM Met  T=5Z

0 9 11 22 23 CM Met  T=5Z

0 1 14 22 23 CM Met  T=5Z

0 6 14 22 23 CM Met  T=5Z

0 11 14 22 23 CM Met  T=5Z

0 4 16 22 23 CM Met  T=5Z

0 9 16 22 23 CM Met  T=5Z

0 14 16 22 23 CM Met  T=5Z

0 1 19 22 23 CM Met  T=5Z

0 6 19 22 23 CM Met  T=5Z

0 11 19 22 23 CM Met  T=5Z

0 16 19 22 23 CM Met  T=5Z

0 4 21 22 23 CM Met  T=5Z

0 9 21 22 23 CM Met  T=5Z

0 14 21 22 23 CM Met  T=5Z

0 19 21 22 23 CM Met  T=5Z

0 1 2 3 24 CM Met  T=5Z

0 2 3 6 24 CM Met  T=5Z

0 1 3 7 24 CM Met  T=5Z

0 3 6 7 24 CM Met  T=5Z

0 1 2 8 24 CM Met  T=5Z

0 2 6 8 24 CM Met  T=5Z

0 1 7 8 24 CM Met  T=5Z

0 6 7 8 24 CM Met  T=5Z

0 2 3 11 24 CM Met  T=5Z

0 3 7 11 24 CM Met  T=5Z

0 2 8 11 24 CM Met  T=5Z

0 7 8 11 24 CM Met  T=5Z

0 1 3 12 24 CM Met  T=5Z

0 3 6 12 24 CM Met  T=5Z

0 1 8 12 24 CM Met  T=5Z

0 6 8 12 24 CM Met  T=5Z

0 3 11 12 24 CM Met  T=5Z

0 8 11 12 24 CM Met  T=5Z

0 1 2 13 24 CM Met  T=5Z

0 2 6 13 24 CM Met  T=5Z

0 1 7 13 24 CM Met  T=5Z

0 6 7 13 24 CM Met  T=5Z

0 2 11 13 24 CM Met  T=5Z

0 7 11 13 24 CM Met  T=5Z

0 1 12 13 24 CM Met  T=5Z

0 6 12 13 24 CM Met  T=5Z

0 11 12 13 24 CM Met  T=5Z

0 2 3 16 24 CM Met  T=5Z

0 3 7 16 24 CM Met  T=5Z

0 2 8 16 24 CM Met  T=5Z

0 7 8 16 24 CM Met  T=5Z

0 3 12 16 24 CM Met  T=5Z

0 8 12 16 24 CM Met  T=5Z

0 2 13 16 24 CM Met  T=5Z

0 7 13 16 24 CM Met  T=5Z

0 12 13 16 24 CM Met  T=5Z

0 1 3 17 24 CM Met  T=5Z

0 3 6 17 24 CM Met  T=5Z

0 1 8 17 24 CM Met  T=5Z

0 6 8 17 24 CM Met  T=5Z

0 3 11 17 24 CM Met  T=5Z

0 8 11 17 24 CM Met  T=5Z

0 1 13 17 24 CM Met  T=5Z

0 6 13 17 24 CM Met  T=5Z

0 11 13 17 24 CM Met  T=5Z

0 3 16 17 24 CM Met  T=5Z

0 8 16 17 24 CM Met  T=5Z

0 13 16 17 24 CM Met  T=5Z

0 1 2 18 24 CM Met  T=5Z

0 2 6 18 24 CM Met  T=5Z

0 1 7 18 24 CM Met  T=5Z

0 6 7 18 24 CM Met  T=5Z

0 2 11 18 24 CM Met  T=5Z

0 7 11 18 24 CM Met  T=5Z

0 1 12 18 24 CM Met  T=5Z

0 6 12 18 24 CM Met  T=5Z

0 11 12 18 24 CM Met  T=5Z

0 2 16 18 24 CM Met  T=5Z

0 7 16 18 24 CM Met  T=5Z

0 12 16 18 24 CM Met  T=5Z

0 1 17 18 24 CM Met  T=5Z

0 6 17 18 24 CM Met  T=5Z

0 11 17 18 24 CM Met  T=5Z

0 16 17 18 24 CM Met  T=5Z

0 2 3 21 24 CM Met  T=5Z

0 3 7 21 24 CM Met  T=5Z

0 2 8 21 24 CM Met  T=5Z

0 7 8 21 24 CM Met  T=5Z

0 3 12 21 24 CM Met  T=5Z

0 8 12 21 24 CM Met  T=5Z

0 2 13 21 24 CM Met  T=5Z

0 7 13 21 24 CM Met  T=5Z

0 12 13 21 24 CM Met  T=5Z

0 3 17 21 24 CM Met  T=5Z

0 8 17 21 24 CM Met  T=5Z

0 13 17 21 24 CM Met  T=5Z

0 2 18 21 24 CM Met  T=5Z

0 7 18 21 24 CM Met  T=5Z

0 12 18 21 24 CM Met  T=5Z

0 17 18 21 24 CM Met  T=5Z

0 1 3 22 24 CM Met  T=5Z

0 3 6 22 24 CM Met  T=5Z

0 1 8 22 24 CM Met  T=5Z

0 6 8 22 24 CM Met  T=5Z

0 3 11 22 24 CM Met  T=5Z

0 8 11 22 24 CM Met  T=5Z

0 1 13 22 24 CM Met  T=5Z

0 6 13 22 24 CM Met  T=5Z

0 11 13 22 24 CM Met  T=5Z

0 3 16 22 24 CM Met  T=5Z

0 8 16 22 24 CM Met  T=5Z

0 13 16 22 24 CM Met  T=5Z

0 1 18 22 24 CM Met  T=5Z

0 6 18 22 24 CM Met  T=5Z

0 11 18 22 24 CM Met  T=5Z

0 16 18 22 24 CM Met  T=5Z

0 3 21 22 24 CM Met  T=5Z

0 8 21 22 24 CM Met  T=5Z

0 13 21 22 24 CM Met  T=5Z

0 18 21 22 24 CM Met  T=5Z

0 1 2 23 24 CM Met  T=5Z

0 2 6 23 24 CM Met  T=5Z

0 1 7 23 24 CM Met  T=5Z

0 6 7 23 24 CM Met  T=5Z

0 2 11 23 24 CM Met  T=5Z

0 7 11 23 24 CM Met  T=5Z

0 1 12 23 24 CM Met  T=5Z

0 6 12 23 24 CM Met  T=5Z

0 11 12 23 24 CM Met  T=5Z

0 2 16 23 24 CM Met  T=5Z

0 7 16 23 24 CM Met  T=5Z

0 12 16 23 24 CM Met  T=5Z

0 1 17 23 24 CM Met  T=5Z

0 6 17 23 24 CM Met  T=5Z

0 11 17 23 24 CM Met  T=5Z

0 16 17 23 24 CM Met  T=5Z

0 2 21 23 24 CM Met  T=5Z

0 7 21 23 24 CM Met  T=5Z

0 12 21 23 24 CM Met  T=5Z

0 17 21 23 24 CM Met  T=5Z

0 1 22 23 24 CM Met  T=5Z

0 6 22 23 24 CM Met  T=5Z

0 11 22 23 24 CM Met  T=5Z

0 16 22 23 24 CM Met  T=5Z

0 21 22 23 24 CM Met  T=5Z

  
 
